design	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000134107.5	BHLHE40	23224.16852492914	-0.1754750823489855	0.19115939622139244	-0.9179516456818997	0.3586441815497988	0.8906341780536909
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000169504.15	CLIC4	23086.341018548497	-0.17765232547199544	0.08824365756653228	-2.013202199127484	0.044093361991602804	0.6797827222183744
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000143761.16	ARF1	23073.842875363876	0.0013367293937647446	0.04818926263886156	0.02773915433781213	0.9778701950629917	0.9970255485010591
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000090006.18	LTBP4	22852.9278897048	0.06541799778337291	0.12899895621058988	0.5071203651956571	0.6120703665091112	0.9453778803096324
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000112769.20	LAMA4	22750.54858586835	-0.012162920296698103	0.09994204394452254	-0.1216997353331066	0.903136822854132	0.990575970591378
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000152795.18	HNRNPDL	22693.602851883283	-0.09284276480801916	0.05938913796733295	-1.5632953766577216	0.11798313526661271	0.7416439454850997
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000152234.16	ATP5F1A	22722.438600031455	-0.0038561516333077486	0.0920413340310166	-0.04189586856714051	0.966581709913879	0.9970255485010591
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000187479.8	C11ORF96	22664.183832566487	-0.07609543263254699	0.20802193459640556	-0.36580485024420045	0.7145107003927895	0.959574739572386
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000162407.9	PLPP3	22547.68985929576	-0.10877861715258437	0.12835556469131812	-0.8474787782998401	0.39672831085913607	0.897214659466875
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000156976.17	EIF4A2	22537.964851957277	-0.06143792265656824	0.07066293621916843	-0.8694504636208741	0.3846007915039491	0.896053033867897
