depot	sex	age_bin_label	family	gene	n	mean_vst	sd_vst
visceral	Female	30-39	beta	ADRB2	18	10.877274181385062	0.6761923575712033
visceral	Female	30-39	beta	ADRB3	18	6.262843404621713	1.201244680115963
visceral	Female	30-39	alpha2	ADRA2A	18	12.386176967580077	1.0670444799219159
visceral	Female	30-39	alpha2	ADRA2B	18	9.61410682545529	0.8307319682585592
visceral	Female	30-39	alpha2	ADRA2C	18	10.345515417669404	0.9504576827476919
visceral	Female	40-49	beta	ADRB1	36	8.769509917496006	1.1269632659638185
visceral	Female	40-49	beta	ADRB2	36	10.555079725669387	0.9052428444631908
visceral	Female	40-49	beta	ADRB3	36	6.12372410183918	1.3949271703521808
visceral	Female	40-49	alpha2	ADRA2A	36	11.783041116166718	1.2148606683231489
visceral	Female	40-49	alpha2	ADRA2B	36	9.736303295861587	0.9383437966112392
visceral	Female	40-49	alpha2	ADRA2C	36	9.943034635929846	0.9589190268190281
visceral	Female	50-59	beta	ADRB1	54	8.846228543949048	1.056164336527532
visceral	Female	50-59	beta	ADRB2	54	10.81514793374907	0.869481913602337
visceral	Female	50-59	beta	ADRB3	54	5.8590743698381695	1.144929851462751
visceral	Female	50-59	alpha2	ADRA2A	54	12.160891105727517	1.0982461917591468
visceral	Female	50-59	alpha2	ADRA2B	54	9.592331409275262	0.7864180394341634
visceral	Female	50-59	alpha2	ADRA2C	54	9.72550443519858	1.0940217261730134
visceral	Female	60-69	beta	ADRB1	50	8.501960214786578	1.0926729505143888
visceral	Female	60-69	beta	ADRB2	50	10.64458626698991	0.7888619650664537
visceral	Female	60-69	beta	ADRB3	50	5.795953207013001	1.1606791821107032
visceral	Female	60-69	alpha2	ADRA2A	50	11.814039302384163	1.3126782612246388
visceral	Female	60-69	alpha2	ADRA2B	50	9.577957335977246	0.6751810830090219
visceral	Female	60-69	alpha2	ADRA2C	50	9.652063227220493	1.1181497807162608
visceral	Female	70-79	beta	ADRB1	4	8.545303227449814	0.846611197516911
visceral	Female	70-79	beta	ADRB2	4	10.69522116076586	0.5293377500799499
visceral	Female	70-79	beta	ADRB3	4	5.612113064446644	0.41991751991287973
visceral	Female	70-79	alpha2	ADRA2A	4	11.814614238005431	1.3230577066582192
visceral	Female	70-79	alpha2	ADRA2B	4	9.692324604666197	0.9020976021567512
visceral	Female	70-79	alpha2	ADRA2C	4	10.711800909029225	1.2014614842932996
