PC	covar	n	r	p
PC59	SMTSISCH	1301	-0.07655628787348581	0.005731865057733389
PC60	SMRIN	1301	0.01655222684643776	0.5508442564643004
PC60	SMTSISCH	1301	0.0090354842358804	0.7447287741291616
PC61	SMRIN	1301	0.06091050978003866	0.02802527394080153
PC61	SMTSISCH	1301	-0.046004699505923556	0.09718753780115308
PC62	SMRIN	1301	-0.03965322389259847	0.15287364287730576
PC62	SMTSISCH	1301	0.004805713578536824	0.8625150687066385
PC63	SMRIN	1301	-0.025398765471363154	0.3599896903671491
PC63	SMTSISCH	1301	-0.017213855740897514	0.5350325131224309
PC64	SMRIN	1301	-0.011736084252831874	0.6723529591696795
PC64	SMTSISCH	1301	-0.007704374158265281	0.7812971802546016
PC65	SMRIN	1301	0.03496343103487978	0.2075675411446612
PC65	SMTSISCH	1301	-8.133598436267226e-4	0.9766179988005868
PC66	SMRIN	1301	-0.041523151727526485	0.13441402282693773
PC66	SMTSISCH	1301	0.04323312243516164	0.11908595751701209
PC67	SMRIN	1301	0.08791942351699061	0.0015019881330704632
PC67	SMTSISCH	1301	2.8650381502765227e-4	0.9917627213434768
PC68	SMRIN	1301	-0.011006623397254714	0.6916385114184986
PC68	SMTSISCH	1301	-0.006552535616716761	0.8133385968829037
PC69	SMRIN	1301	-0.06814199845885045	0.013958301364734946
PC69	SMTSISCH	1301	-0.012232632960347488	0.6593463288936209
PC70	SMRIN	1301	-0.060966454409922204	0.027881194052506175
PC70	SMTSISCH	1301	0.01068004918764045	0.700338610961754
PC71	SMRIN	1301	-0.024109954936864107	0.38489009017342934
PC71	SMTSISCH	1301	0.06494245560017979	0.019147048048637552
PC72	SMRIN	1301	-0.07434944268665503	0.00729924353480671
PC72	SMTSISCH	1301	0.04454664073059739	0.1082689881927913
PC73	SMRIN	1301	0.017761292172933183	0.5221248526342854
PC73	SMTSISCH	1301	-0.03686839815250079	0.18385003348613171
PC74	SMRIN	1301	0.00917506867021594	0.7409255930030604
PC74	SMTSISCH	1301	0.011883718982672665	0.6684753410239122
PC75	SMRIN	1301	-0.07089747991059137	0.010527935030661477
PC75	SMTSISCH	1301	-0.014771781619391827	0.5945003226374954
PC76	SMRIN	1301	0.0204732492301869	0.46062088207230756
PC76	SMTSISCH	1301	-0.019181025559922623	0.4894108204550349
