PC,n_age,r_age,p_age,n_sex,r_sex,p_sex,lm_n,lm_beta_age_mid,lm_p_age_mid,lm_beta_sex_num,lm_p_sex_num,scope
PC469,1301,-0.004312679448093325,0.8765005746214897,1301,0.0011021313627197695,0.9683203487377812,1301,-3.452487083964108e-4,0.8761594502591464,0.0027540392590305472,0.9642619438271064,both_depots
PC470,1301,-0.007300579926984662,0.7924906429428736,1301,0.0022638033445220463,0.9349842094756364,1301,-5.814478089336877e-4,0.792882702661335,0.005443196154750541,0.929403589439453,both_depots
PC471,1301,0.009081713710442477,0.7434684909339284,1301,-4.674391391848383e-4,0.986561041409084,1301,7.346378190943416e-4,0.7397085554901593,-0.002054211471086309,0.9732878194659146,both_depots
PC472,1301,-0.028423347162483258,0.3056303528737937,1301,-0.0012829724658327876,0.9631256915431702,1301,-0.002275027102786284,0.30275931206915896,5.2472679871036864e-5,0.9993163144448618,both_depots
PC473,1301,-0.02614086176489739,0.3461213343061499,1301,-4.430868340930651e-4,0.9872611134651434,1301,-0.0020673674486502655,0.34837956208696486,0.0010747832566953025,0.9859785155015908,both_depots
PC474,1301,0.007748259583418631,0.780083321795631,1301,-0.0018127411399373227,0.9479179055841662,1301,6.231779222760822e-4,0.7772241412676073,-0.004723300407142906,0.9383890917248594,both_depots
PC475,1301,0.007992331872622944,0.7733421951710258,1301,0.0031117692743464374,0.9107187728502086,1301,6.241877356213002e-4,0.776498803121542,0.006137960159722456,0.9198538351662839,both_depots
PC476,1301,0.027651662637324274,0.318953793391297,1301,0.001052579314544816,0.969743974075876,1301,0.0021788923072489255,0.3202283257669942,-5.181574056443024e-6,0.9999320094402967,both_depots
PC477,1301,-0.02329344842363061,0.40119637098292205,1301,-0.003111610794381454,0.9107233008708354,1301,-0.0018400703876393788,0.40085954857589956,-0.004548913492968306,0.9403227073544427,both_depots
PC478,1301,0.01731477977363954,0.5326408592931726,1301,0.0024555219964969297,0.9294918824672618,1301,0.001358988506970953,0.5344039246528476,0.0038452260215014866,0.9494750901775166,both_depots
PC479,1301,0.0025134216886384775,0.9278338280700772,1301,-0.0013242061688776934,0.9619414651127454,1301,2.0725472051673604e-4,0.9244477712243833,-0.0032371083913435195,0.9574241531430631,both_depots
PC480,1301,0.0030096379691565145,0.9136374180601151,1301,5.7661216298525066e-5,0.9983421526419272,1301,2.2257917453658463e-4,0.91883954291776,2.1657646711438497e-4,0.9971487154725132,both_depots
PC481,1301,0.007785285867283939,0.7790596014401172,1301,-4.876827960104558e-4,0.9859790912659719,1301,6.141001664368094e-4,0.7783531821801438,-0.0017413596578167983,0.9770501443684246,both_depots
PC482,1301,-0.0107253647417987,0.6991290014774089,1301,0.0020695565586313493,0.9405521149452575,1301,-8.568496387688416e-4,0.6938660575073772,0.00564298832022585,0.9255586547503758,both_depots
PC483,1301,-0.02150668532226445,0.4382943128026542,1301,-1.119571519691513e-4,0.9967810686104831,1301,-0.0016810882532105327,0.43969993577851263,0.0014697958947153028,0.9805713371890734,both_depots
PC484,1301,-0.0035242061424642784,0.8989450449156718,1301,-2.291635844433491e-4,0.9934112696954622,1301,-2.815704978218878e-4,0.896985823640958,-4.846743614790987e-5,0.9993590980580773,both_depots
PC485,1301,0.019642261004724194,0.4790251178756316,1301,-0.003140690143765135,0.9098925069860767,1301,0.0015468336960967617,0.47552547839098047,-0.00853974733456067,0.8870859144756649,both_depots
PC486,1301,-0.0014264057703154958,0.9590066732984532,1301,0.0012561197464736138,0.9638969418997883,1301,-1.1404339965063055e-4,0.9580435553384863,0.002813351838824682,0.962691056824287,both_depots
PC487,1301,-0.004770809292085143,0.8635038094514248,1301,7.213068550097964e-4,0.9792636520252418,1301,-3.770738243395933e-4,0.8617808800505502,0.0020289182861504126,0.9730639235655674,both_depots
PC488,1301,-0.0049837230801567725,0.8574759355841186,1301,8.544593538878237e-4,0.9754368576298473,1301,-3.849280056272089e-4,0.8588360183460079,0.002114741374135848,0.9719057368555012,both_depots
PC489,1301,-0.02732540012355362,0.32469938989114056,1301,0.0019248400565492817,0.9447021829588977,1301,-0.002133345905995498,0.32358762116148954,0.006448333035846916,0.9143445441233932,both_depots
PC490,1301,-0.006380170148053422,0.8181617827529262,1301,2.494715606250821e-5,0.9992827310350787,1301,-4.95918622140261e-4,0.8181846460880855,5.892880986068184e-4,0.9921444753900505,both_depots
PC491,1301,-0.05660570073754658,0.04121041523096594,1301,-6.463286572760017e-4,0.9814187361261341,1301,-0.004394573013579272,0.041303169505057205,0.00338314939315652,0.9548133592029989,both_depots
PC492,1301,-0.021724909370802386,0.4336605025105853,1301,6.390634950633889e-4,0.9816275647540581,1301,-0.0016846460100142654,0.43360736588572,0.0031620171287695337,0.95774847331816,both_depots
PC493,1301,0.004459547051090545,0.8723302647230189,1301,-1.3539518090548177e-4,0.9961071959767106,1301,3.422450739844075e-4,0.8735785699222445,-5.72763732926296e-4,0.9923422306273666,both_depots
PC494,1301,0.003982373301783178,0.8858919759647862,1301,-2.234571199001327e-4,0.9935753338679564,1301,3.0372617455431153e-4,0.8874788732828264,-6.914931877416011e-4,0.9907360271146144,both_depots
PC495,1301,-0.02102924622202058,0.4485308911817719,1301,-7.174338485509167e-4,0.9793749695468357,1301,-0.0016394721731658758,0.4443061850204162,6.52208484578905e-4,0.9912479552061462,both_depots
PC496,1301,0.008021248906684653,0.7725446438585658,1301,-0.0017558347861290602,0.9495506758564716,1301,6.222196631383824e-4,0.7714340300425718,-0.004378626537248275,0.9412629686416407,both_depots
PC497,1301,-0.009173304126566157,0.7409736313482658,1301,1.6149598158398778e-4,0.9953567686119316,1301,-7.06388747563054e-4,0.7411985634927846,0.0010859064482623111,0.9853998758997247,both_depots
