PC	covar	n	p
PC142	SMCENTER	1301	0.7823107599659188
PC142	SMNABTCH	1301	5.3417854957992396e-5
PC142	SMGEBTCH	1301	7.192450115346197e-8
PC143	SMCENTER	1301	0.18201018507680683
PC143	SMNABTCH	1301	0.2835873024481918
PC143	SMGEBTCH	1301	0.052696233685539176
PC144	SMCENTER	1301	0.72227555582724845
PC144	SMNABTCH	1301	0.006814365987060073
PC144	SMGEBTCH	1301	0.009046200381994295
PC145	SMCENTER	1301	0.3905049249303799
PC145	SMNABTCH	1301	0.24176854496452493
PC145	SMGEBTCH	1301	0.4382244304080999
PC146	SMCENTER	1301	0.41588986183693366
PC146	SMNABTCH	1301	0.0039077065074763105
PC146	SMGEBTCH	1301	2.465612205512947e-9
PC147	SMCENTER	1301	0.17027483299783588
PC147	SMNABTCH	1301	0.050411248310440825
PC147	SMGEBTCH	1301	0.002449497104668463
PC148	SMCENTER	1301	0.8621090947513474
PC148	SMNABTCH	1301	0.2087990645787019
PC148	SMGEBTCH	1301	4.06215045825486e-4
PC149	SMCENTER	1301	0.1647640180350386
PC149	SMNABTCH	1301	0.3403721706884186
PC149	SMGEBTCH	1301	0.036118772466616614
PC150	SMCENTER	1301	0.06841477500204039
PC150	SMNABTCH	1301	0.008086181685728161
PC150	SMGEBTCH	1301	0.010564739746071722
PC151	SMCENTER	1301	0.9763611069310225
PC151	SMNABTCH	1301	0.5632144781396291
PC151	SMGEBTCH	1301	0.013694164154228498
PC152	SMCENTER	1301	0.02125620077916111
PC152	SMNABTCH	1301	0.5990999185594121
PC152	SMGEBTCH	1301	0.027745404276685322
PC153	SMCENTER	1301	0.19566596141168946
PC153	SMNABTCH	1301	0.022388375992012027
PC153	SMGEBTCH	1301	0.24666808794054654
PC154	SMCENTER	1301	0.2970244077986181
PC154	SMNABTCH	1301	0.7528697140778704
PC154	SMGEBTCH	1301	0.034297531874549425
PC155	SMCENTER	1301	0.48054917526081764
PC155	SMNABTCH	1301	0.521784010012156
PC155	SMGEBTCH	1301	0.1517509439113033
PC156	SMCENTER	1301	0.21496705786102602
PC156	SMNABTCH	1301	0.8906777284516127
PC156	SMGEBTCH	1301	0.0955444376021098
PC157	SMCENTER	1301	0.6148952667116584
PC157	SMNABTCH	1301	0.04740173030108959
PC157	SMGEBTCH	1301	0.006094333606702853
PC158	SMCENTER	1301	0.5996967655297682
PC158	SMNABTCH	1301	0.11814620158201448
PC158	SMGEBTCH	1301	5.335983189247611e-4
PC159	SMCENTER	1301	0.5874158878009836
PC159	SMNABTCH	1301	0.008324267845544455
PC159	SMGEBTCH	1301	1.5042948921489263e-4
PC160	SMCENTER	1301	0.002391535967697449
PC160	SMNABTCH	1301	0.47863199140726514
PC160	SMGEBTCH	1301	7.618756688480416e-4
PC161	SMCENTER	1301	0.5302332149132786
PC161	SMNABTCH	1301	0.12603034009042735
PC161	SMGEBTCH	1301	0.07982306361735877
PC162	SMCENTER	1301	0.10022975274597193
PC162	SMNABTCH	1301	0.15578941521951084
PC162	SMGEBTCH	1301	0.28649182587180305
PC163	SMCENTER	1301	0.21065518945907394
PC163	SMNABTCH	1301	0.010626787269809848
PC163	SMGEBTCH	1301	0.028942809599201775
