PC,covar,n,p
PC443,SMCENTER,1301,0.5378346417939761
PC444,SMCENTER,1301,0.4312718289653513
PC445,SMCENTER,1301,0.7085941448631883
PC446,SMCENTER,1301,0.9101448821728063
PC447,SMCENTER,1301,0.625755378725707
PC448,SMCENTER,1301,0.4631230869045283
PC449,SMCENTER,1301,0.7324480721149098
PC450,SMCENTER,1301,0.7769748172501175
PC451,SMCENTER,1301,0.5426593338129744
PC452,SMCENTER,1301,0.4840904132374867
PC453,SMCENTER,1301,0.7315042802099128
PC454,SMCENTER,1301,0.2066852017235658
PC455,SMCENTER,1301,0.6754315362773795
PC456,SMCENTER,1301,0.050138169811780944
PC457,SMCENTER,1301,0.840970576927119
PC458,SMCENTER,1301,0.2587158512527828
PC459,SMCENTER,1301,0.29647213038980685
PC460,SMCENTER,1301,0.459759111174719
PC461,SMCENTER,1301,0.3663364526343789
PC462,SMCENTER,1301,0.28468055453330643
PC463,SMCENTER,1301,0.43332508579253787
PC464,SMCENTER,1301,0.5954132937499834
PC465,SMCENTER,1301,0.04182910908620258
PC466,SMCENTER,1301,0.7205203928449899
PC467,SMCENTER,1301,0.009976225281805959
PC468,SMCENTER,1301,0.27542589813608237
PC469,SMCENTER,1301,0.9796512815883756
PC470,SMCENTER,1301,0.9013833574959582
PC471,SMCENTER,1301,0.3139755381712307
PC472,SMCENTER,1301,0.35492136157778936
PC473,SMCENTER,1301,0.7302331155284736
PC474,SMCENTER,1301,0.012127593253177379
PC475,SMCENTER,1301,0.8847765374419604
PC476,SMCENTER,1301,0.4282340270889553
PC477,SMCENTER,1301,0.2874021484203522
PC478,SMCENTER,1301,0.10762798071504479
PC479,SMCENTER,1301,0.052529341005488
PC480,SMCENTER,1301,0.6696109160432682
PC481,SMCENTER,1301,0.6711222684384808
PC482,SMCENTER,1301,0.0874740720101993
PC483,SMCENTER,1301,0.8871869933097298
PC484,SMCENTER,1301,0.8815330622971227
PC485,SMCENTER,1301,0.7984431447696548
PC486,SMCENTER,1301,0.3518925978522021
PC487,SMCENTER,1301,0.1766926776585139
PC488,SMCENTER,1301,0.14506553856468918
PC489,SMCENTER,1301,0.4911579975083418
PC490,SMCENTER,1301,0.5686699524736466
PC491,SMCENTER,1301,0.07816871525502496
PC492,SMCENTER,1301,0.3312324211881494
PC493,SMCENTER,1301,0.4729641519110302
PC494,SMCENTER,1301,0.5653571102922792
PC495,SMCENTER,1301,0.840054008880766
PC496,SMCENTER,1301,0.6891219367251397
PC497,SMCENTER,1301,0.2499732014592995
PC498,SMCENTER,1301,0.2903938756423987
PC499,SMCENTER,1301,0.5094807987177985
PC500,SMCENTER,1301,0.24108881732286275
PC501,SMCENTER,1301,0.8794242405378045
PC502,SMCENTER,1301,0.9804738480253183
PC503,SMCENTER,1301,0.11622646153294154
PC504,SMCENTER,1301,0.058387125930954964
PC505,SMCENTER,1301,0.9932762704871896
PC506,SMCENTER,1301,0.7386095569151516
PC507,SMCENTER,1301,0.9960912603232461
PC508,SMCENTER,1301,0.4116917614502271
PC509,SMCENTER,1301,0.38262015648455
PC510,SMCENTER,1301,0.4944610324617724
PC511,SMCENTER,1301,0.9586275379638312
PC512,SMCENTER,1301,0.5797189640705708
PC513,SMCENTER,1301,0.9872765566743197
PC514,SMCENTER,1301,0.3489003846923267
PC515,SMCENTER,1301,0.634006390484231
PC516,SMCENTER,1301,0.6378830640177402
PC517,SMCENTER,1301,0.668854062767561
PC518,SMCENTER,1301,0.8896614714547935
PC519,SMCENTER,1301,0.7736136991623445
PC520,SMCENTER,1301,0.5905684525758201
PC521,SMCENTER,1301,0.8350766744000244
PC522,SMCENTER,1301,0.5147568472359529
PC523,SMCENTER,1301,0.5253387669545391
PC524,SMCENTER,1301,0.7307082733231028
PC525,SMCENTER,1301,0.49997342377931664
PC526,SMCENTER,1301,0.38230446497649184
PC527,SMCENTER,1301,0.7743285133499471
PC528,SMCENTER,1301,0.7032974248922986
PC529,SMCENTER,1301,0.7134465404818647
PC530,SMCENTER,1301,0.16918763162728215
PC531,SMCENTER,1301,0.31024055679184903
PC532,SMCENTER,1301,0.5096929248388525
PC533,SMCENTER,1301,0.7170291910845825
PC534,SMCENTER,1301,0.9768426705702444
PC535,SMCENTER,1301,0.7614827217115048
PC536,SMCENTER,1301,0.2891532069417846
PC537,SMCENTER,1301,0.6613765604111559
PC538,SMCENTER,1301,0.9821036063950939
PC539,SMCENTER,1301,0.4224106338303982
PC540,SMCENTER,1301,0.8617149481181589
PC541,SMCENTER,1301,0.39794978955586047
PC542,SMCENTER,1301,0.8542711010070524
PC543,SMCENTER,1301,0.04430572794531499
PC544,SMCENTER,1301,0.03788153436522583
PC545,SMCENTER,1301,0.5847099754520516
PC546,SMCENTER,1301,0.873598567352637
PC547,SMCENTER,1301,0.8282165587239491
PC548,SMCENTER,1301,0.21527009710262088
