gs_name	gs_collection	gs_subcollection	gs_collection_name	n_genes
REACTOME_ESTROGEN_STIMULATED_SIGNALING_THROUGH_PRKCZ	C2	CP:REACTOME	Reactome Pathways	7
HP_ABNORMAL_CIRCULATING_PROGESTERONE_LEVEL	C5	HPO	Human Phenotype Ontology	6
REACTOME_ESTROGEN_BIOSYNTHESIS	C2	CP:REACTOME	Reactome Pathways	6
REACTOME_RUNX1_REGULATES_ESTROGEN_RECEPTOR_MEDIATED_TRANSCRIPTION	C2	CP:REACTOME	Reactome Pathways	6
WILLIAMS_ESR1_TARGETS_DN	C2	CGP	Chemical and Genetic Perturbations	6
GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS	C5	GO:BP	GO Biological Process	5
KEGG_MEDICUS_REFERENCE_NUCLEAR_INITIATED_PROGESTERONE_SIGNALING_PATHWAY	C2	CP:KEGG_MEDICUS	KEGG Medicus Pathways	5
KEGG_MEDICUS_REFERENCE_STEROID_HORMONE_BIOSYNTHESIS_PROGESTERONE_TO_CORTISOL_CORTISONE	C2	CP:KEGG_MEDICUS	KEGG Medicus Pathways	5
KEGG_MEDICUS_VARIANT_ESR1_POSITIVE_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY	C2	CP:KEGG_MEDICUS	KEGG Medicus Pathways	5
WP_ESTRADIOL_REGULATION_IN_PORTOSINUSOIDAL_VASCULAR_DISEASE	C2	CP:WIKIPATHWAYS	WikiPathways	5
