depot	comparison	score_name	model	effect	n	estimate	se	t	p	padj_within
subcutaneous	30-39_vs_60-69	adipocyte	tech_comp	sex_interaction_female_minus_male	293	6.038695574599148e-17	8.033733964091552e-17	0.7516673568717057	0.45287799091521286	1
subcutaneous	30-39_vs_60-69	macrophage_mono	base	male_old_vs_young	293	0.05494995273842119	0.162441504226883	0.3382753256315102	0.7354030396153985	0.8991288792499514
subcutaneous	30-39_vs_60-69	macrophage_mono	base	female_old_vs_young	293	0.029580960733882167	0.265272472056412	0.11151161107885922	0.9112886046606943	1
subcutaneous	30-39_vs_60-69	macrophage_mono	base	sex_interaction_female_minus_male	293	-0.025368992004539022	0.30967382020220074	-0.08192165546307531	0.9347661160470948	1
subcutaneous	30-39_vs_60-69	macrophage_mono	tech	male_old_vs_young	293	0.11421200923940894	0.16603121178787367	0.6878948121232142	0.49207849670136405	0.9841569934027281
subcutaneous	30-39_vs_60-69	macrophage_mono	tech	female_old_vs_young	293	0.10978349215181492	0.2668013768620381	0.4114802308857031	0.6810296985989689	1
subcutaneous	30-39_vs_60-69	macrophage_mono	tech	sex_interaction_female_minus_male	293	-0.004428517087594016	0.3075421838232083	-0.014399706188402969	0.9885211687340822	1
subcutaneous	30-39_vs_60-69	macrophage_mono	tech_comp	male_old_vs_young	293	-2.0277071379524955e-17	5.296858503998441e-17	-0.3828131592380351	0.7021466867157455	1
subcutaneous	30-39_vs_60-69	macrophage_mono	tech_comp	female_old_vs_young	293	-8.195598538639635e-19	8.407856703759767e-17	-0.009747547832225523	0.992229597370181	1
subcutaneous	30-39_vs_60-69	macrophage_mono	tech_comp	sex_interaction_female_minus_male	293	1.9457511525660992e-17	9.646726690819426e-17	0.20170066126345498	0.8402961653899077	1
subcutaneous	30-39_vs_60-69	fibroblast_ecm	base	male_old_vs_young	293	0.480076517529967	0.15166846469891807	3.165302150865589	0.00171583137901538	0.015442482411138419
subcutaneous	30-39_vs_60-69	fibroblast_ecm	base	female_old_vs_young	293	0.2777532193310621	0.24767973403821927	1.1214208558872332	0.26304616828270055	1
subcutaneous	30-39_vs_60-69	fibroblast_ecm	base	sex_interaction_female_minus_male	293	-0.20232329819890488	0.2891364069241593	-0.6997503370510322	0.4846500113679527	1
subcutaneous	30-39_vs_60-69	fibroblast_ecm	tech	male_old_vs_young	293	0.4069924668414757	0.14817041339818932	2.746786335459123	0.006401460783266584	0.076817529399199
subcutaneous	30-39_vs_60-69	fibroblast_ecm	tech	female_old_vs_young	293	0.24199473988462533	0.23810023355946838	1.0163565833890047	0.3103216384572471	1
subcutaneous	30-39_vs_60-69	fibroblast_ecm	tech	sex_interaction_female_minus_male	293	-0.1649977269568504	0.27445835047380457	-0.6011758311307	0.5482007239518658	1
